Instrument,ISIN,Mnemonic
BARALABA COAL CO. LTD,AU000000BCL4,C9CB
BARD1 LIFE SCIENCES,AU000000BD12,EGQ
BLINA MINERALS NL,AU000000BDI8,UH7
BEADELL RESOURCES LTD,AU000000BDR9,3B7
BENDIGO + ADELAIDE BK LTD,AU000000BEN6,BDJ
BEGA CHEESE LTD.,AU000000BGA8,B6G
BLACKGOLD INTL HLDGS LTD,AU000000BGG5,7BG
BLIGH RESOURCES LTD,AU000000BGH3,BLG
BIRIMIAN LTD.,AU000000BGS0,N9F
"BHP BILLITON DL -,50",AU000000BHP4,BHP1
BKM MANAGEMENT LTD.,AU000000BKM5,BL7
BRADKEN LTD.,AU000000BKN3,DQY
BERKELEY ENERGIA LTD.,AU000000BKY0,B5R
BORAL LTD,AU000000BLD2,HQK
BLACKHAM RESOURCES LTD,AU000000BLK7,NZ3
BENITEC BIOPHARMA LTD.,AU000000BLT8,BJ9
BOART LONGYEAR GROUP,AU000000BLY8,B8D
BANNERMAN RES LTD,AU000000BMN9,BH6
BIONOMICS LTD.,AU000000BNO5,B1N
BULLETIN RESOURCES LTD,AU000000BNR8,7BR
BANK OF QUEENSLAND LTD,AU000000BOQ8,BXZ
BEACH ENERGY LTD.,AU000000BPT9,BPS
BREVILLE GROUP LTD,AU000000BRG2,HDE
BURU ENERGY LTD.,AU000000BRU3,BUD
BLUESCOPE STEEL LTD.,AU000000BSL0,BH5
BASS METALS LTD,AU000000BSM8,R2F
BURRABULLA CORP.LTD,AU000000BUA9,RIS
BUDDY PLATFORM LTD,AU000000BUD3,TRO
BUXTON RESOURCES LTD,AU000000BUX1,3B4
BOUNTY OIL + GAS,AU000000BUY9,BOB
BRAVURA SOLUTIONS,AU000000BVS9,BRA
BRAMBLES LTD,AU000000BXB1,R1H
CAENEUS MINERALS,AU000000CAD3,MXB
CARPENTARIA EXPLORATION,AU000000CAP7,78A
CARSALES.COM,AU000000CAR3,WN6
CRUSADER RESOURCES LTD.,AU000000CAS1,LUC
CARNAVALE RESOURCES LTD,AU000000CAV5,YBB
COMMONW.BK AUSTR.,AU000000CBA7,CWW
CARNEGIE CLEAN EN.,AU000000CCE7,CNM1
COCA-COLA AMATIL,AU000000CCL2,CCL
CONDOR BLANCO MINES LTD,AU000000CDB1,1CB
CUDECO LTD,AU000000CDU1,AMR
CARDINAL RESOURCES LTD.,AU000000CDV9,C3L
CHALLENGER ENERGY LTD,AU000000CEL8,4SE
CAPE LAMBERT RES LTD.,AU000000CFE0,HM5
CHALLENGER LTD.,AU000000CGF5,GK9
CHALICE GOLD MINES LTD,AU000000CHN7,C8U
CHAMPION IRON,AU000000CIA2,MMPI
CIMIC GROUP,AU000000CIM7,LTH
CONNECTED IO LTD,AU000000CIO3,EQ4
CORIZON LTD,AU000000CIZ9,0KI
COLLINS FOODS LTD,AU000000CKF7,6CF
CELSIUS RESOURCES LTD.,AU000000CLA6,FX8
CLEAN TEQ HOLDINGS LTD,AU000000CLQ2,4CQ
CLANCY EXPLORATION,AU000000CLY6,CK1
CROWD MOBILE,AU000000CM85,CM3
CAPRICORN METALS LTD,AU000000CMM9,MGM
CIRRUS NETW. HLDGS,AU000000CNW6,LG4
CARBON ENERGY LTD,AU000000CNX4,MEE
COOPER ENERGY LTD.,AU000000COE2,CDP
COCHLEAR LTD,AU000000COH5,OC5
COPPERMOLY LTD.,AU000000COY0,5C5
COMPUTERSHARE LTD.,AU000000CPU5,QCH
CSL LTD,AU000000CSL8,CSJ
CSR LTD,AU000000CSR5,CSR
CLEAN SEAS SEAFOOD LTD.,AU000000CSS3,C7S
CORPORATE TRAVEL MNGNT,AU000000CTD3,1C6
CITIGOLD CORPORATION LTD.,AU000000CTO0,CHP
CENTRAL PETROLEUM LTD,AU000000CTP7,C9J
CALTEX AUSTRALIA,AU000000CTX1,CLZ
CUE ENERGY RES,AU000000CUE9,CU5A
CULLEN RES,AU000000CUL4,CZA
CLINUVEL PHARMACEUTICALS,AU000000CUV3,UR9
CARNARVON PETROLEUM LTD.,AU000000CVN8,CJB
COVER-MORE GROUP LTD,AU000000CVO6,5CO
